rev,mou,totmrc,da,ovrmou,ovrrev,vceovr,datovr,roam,change_mou,change_rev,drop_vce,drop_dat,blck_vce,blck_dat,unan_vce,unan_dat,plcd_vce,plcd_dat,recv_vce,recv_sms,comp_vce,comp_dat,custcare,ccrndmou,cc_mou,inonemin,threeway,mou_cvce,mou_cdat,mou_rvce,owylis_vce,mouowylisv,iwylis_vce,mouiwylisv,peak_vce,peak_dat,mou_peav,mou_pead,opk_vce,opk_dat,mou_opkv,mou_opkd,drop_blk,attempt,complete,callfwdv,callwait,months,uniqsubs,actvsubs,new_cell,crclscod,asl_flag,totcalls,totmou,totrev,adjrev,adjmou,adjqty,avgrev,avgmou,avgqty,avg3mou,avg3qty,avg3rev,avg6mou,avg6qty,avg6rev,prizm_social_one,area,dualband,refurb_new,hnd_price,phones,models,hnd_webcap,truck,rv,ownrent,lor,dwlltype,marital,adults,infobase,income,numbcars,HHstatin,dwllsize,forgntvl,ethnic,kid0_2,kid3_5,kid6_10,kid11_15,kid16_17,creditcd,eqpdays,Customer_ID
221.7825,920.75,69.99,14.85,275.5,109.7425,91.9,17.8425,4.7125,1041.25,350.7275,11.0,0.333333333,0.666666667,0.0,31.66666667,0.0,161.0,10.0,81.33333333,0.0,121.0,9.666666667,0.0,0.0,0.0,52.66666667,0.0,247.2833333,33.79666667,115.3366667,36.66666667,65.57666667,4.666666667,4.203333333,61.0,4.333333333,130.7933333,8.993333333,101.6666667,5.333333333,231.8266667,24.80333333,12.0,171.0,130.6666667,0.0,2.333333333,7,2,1,U,AA,N,1536,4329.0,837.16,774.9,4294.0,1526,129.15,715.67,254.33,574,198,105,716.0,254.0,129.0,,LOS ANGELES AREA,Y,N,79.98999023,1.0,1.0,WCMB,0.0,0.0,,4.0,,S,1.0,M,,2.0,C,,0.0,O,U,U,U,U,U,Y,216.0,1090011
64.335,918.5,44.99,0.495,63.25,25.3,25.3,0.0,0.0,-136.5,-5.245,5.666666667,0.0,0.0,0.0,9.333333333,0.0,381.3333333,0.0,161.0,0.0,367.0,0.0,0.666666667,1.333333333,0.89,104.0,0.333333333,424.3,0.0,187.3166667,35.66666667,22.78,3.333333333,4.326666667,128.6666667,0.0,121.25,0.0,371.0,0.0,490.3666667,0.0,5.666666667,381.3333333,367.0,0.0,0.0,11,1,1,Y,CA,Y,4021,8236.0,792.85,722.24,8236.0,4021,72.22,823.6,402.1,964,464,66,868.0,415.0,86.0,U,NEW YORK CITY AREA,N,N,129.9899902,1.0,1.0,WCMB,0.0,0.0,,,M,S,2.0,M,6.0,,A,,0.0,H,U,U,U,U,U,Y,323.0,1090012
71.9675,930.5,49.655,1.485,59.0,23.6,23.6,0.0,1.26,-73.5,29.5225,3.333333333,0.0,0.0,0.0,154.6666667,0.0,401.0,0.0,58.33333333,0.0,243.6666667,0.0,3.333333333,4.666666667,3.206666667,31.33333333,0.333333333,426.0366667,0.0,140.86,31.0,60.91,6.666666667,19.72333333,171.0,0.0,249.2133333,0.0,122.6666667,0.0,317.6833333,0.0,3.333333333,401.0,243.6666667,0.0,4.333333333,11,1,1,Y,DA,Y,2971,8276.0,686.84,616.23,8271.0,2967,61.62,827.1,296.7,955,335,62,1012.0,346.0,62.0,T,NORTHWEST/ROCKY MOUNTAIN AREA,T,N,99.98999023,1.0,1.0,WCMB,0.0,0.0,O,3.0,M,S,1.0,M,2.0,1.0,C,B,0.0,N,U,U,U,U,U,Y,323.0,1090013
54.485,389.25,69.99,0.495,0.0,0.0,0.0,0.0,0.0,76.75,0.495,2.0,0.0,2.333333333,0.0,7.666666667,0.0,117.0,0.0,44.0,0.0,106.0,0.0,0.333333333,2.666666667,2.356666667,14.66666667,0.0,148.6166667,0.0,136.5833333,20.66666667,13.07,0.666666667,0.19,103.6666667,0.0,198.5133333,0.0,45.33333333,0.0,86.68666667,0.0,4.333333333,117.0,106.0,0.0,0.666666667,7,1,1,U,CA,Y,1200,2886.0,493.64,406.77,2875.0,1194,67.8,479.17,199.0,364,150,54,479.0,199.0,68.0,S,NORTH FLORIDA AREA,N,N,129.9899902,1.0,1.0,WCMB,0.0,0.0,O,1.0,,U,1.0,M,8.0,2.0,,,0.0,N,U,U,U,U,U,Y,216.0,1090014
152.4475,1208.75,62.49,0.7425,234.25,93.695,93.5,0.195,0.27,590.25,127.7325,18.66666667,0.0,38.66666667,0.0,189.0,1.333333333,528.3333333,2.0,108.6666667,0.0,287.0,0.666666667,4.666666667,6.0,3.103333333,45.0,0.666666667,598.6433333,0.096666667,384.8566667,27.0,25.96,14.0,60.83666667,188.3333333,0.0,408.3433333,0.0,202.3333333,0.666666667,575.1566667,0.096666667,57.33333333,530.3333333,287.6666667,0.0,6.666666667,11,1,1,U,EA,Y,2645,8712.0,1118.84,1032.96,8711.0,2644,103.3,871.1,264.4,1012,320,110,986.0,299.0,122.0,T,NORTH FLORIDA AREA,U,N,,3.0,3.0,UNKW,0.0,0.0,,,,U,,,,,,,0.0,S,U,U,U,U,U,N,42.0,1090015
55.725,1512.5,49.8275,0.0,27.25,10.8975,10.8,0.0975,0.0,-788.5,-15.735,21.33333333,0.0,3.666666667,0.0,27.33333333,0.0,182.3333333,0.333333333,52.33333333,0.0,139.6666667,0.333333333,0.333333333,0.333333333,0.143333333,13.33333333,0.0,698.37,0.05,534.37,19.66666667,30.31,5.666666667,14.45,61.0,0.0,248.9133333,0.0,120.3333333,0.333333333,983.8333333,0.05,25.0,182.6666667,140.0,0.0,1.0,7,1,1,U,ZA,Y,1138,8875.0,440.6,354.72,8875.0,1138,59.12,1479.17,189.67,1775,213,61,1479.0,190.0,59.0,U,NEW YORK CITY AREA,N,N,129.9899902,1.0,1.0,WCMB,0.0,0.0,,,,U,,,,,,,0.0,B,U,U,U,U,U,N,216.0,1090016
83.175,1342.5,69.99,1.485,69.25,27.7,27.7,0.0,0.0,-255.5,3.805,9.666666667,0.0,1.0,0.0,41.66666667,0.0,414.0,0.0,232.0,0.0,365.0,0.0,5.0,7.0,4.493333333,142.6666667,1.333333333,585.0866667,0.0,440.3033333,104.3333333,131.4033333,18.33333333,57.98,198.3333333,0.0,331.6666667,0.0,306.0,0.0,693.7266667,0.0,10.66666667,414.0,365.0,0.0,7.333333333,7,1,1,U,BA,N,3073,8333.0,549.67,463.79,8333.0,3073,77.3,1388.83,512.17,1428,498,82,1389.0,512.0,77.0,S,NORTHWEST/ROCKY MOUNTAIN AREA,Y,N,149.9899902,1.0,1.0,WCMB,0.0,0.0,,,,U,,,,,,,0.0,N,U,U,U,U,U,N,216.0,1090017
34.99,1.25,44.99,0.0,0.0,0.0,0.0,0.0,0.0,-1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.333333333,0.0,1.333333333,0.0,1.333333333,0.0,0.0,0.0,0.0,1.333333333,0.666666667,1.433333333,0.0,0.0,0.0,0.0,0.0,0.0,1.333333333,0.0,1.433333333,0.0,0.0,0.0,0.0,0.0,0.0,1.333333333,1.333333333,0.0,0.0,11,2,2,U,B,N,7,10.0,418.58,316.17,10.0,7,35.13,1.11,0.78,2,1,35,2.0,1.0,35.0,S,DC/MARYLAND/VIRGINIA AREA,N,N,29.98999023,1.0,1.0,,1.0,0.0,O,15.0,S,M,4.0,M,6.0,1.0,,A,0.0,U,U,U,Y,Y,U,Y,323.0,1090018
66.1125,713.5,59.99,2.475,34.5,13.6475,7.7,5.9475,0.0,4.5,9.8575,12.33333333,0.0,0.0,0.0,30.0,0.0,160.0,0.0,66.0,0.0,123.3333333,0.0,0.666666667,5.0,4.866666667,34.0,0.0,274.8533333,0.0,142.31,37.66666667,43.8,12.0,13.08,72.66666667,0.0,148.2,0.0,95.0,0.0,268.9633333,0.0,12.33333333,160.0,123.3333333,0.0,3.0,11,2,2,U,AA,N,2095,7344.0,877.81,807.2,7342.0,2094,80.72,734.2,209.4,712,197,63,706.0,203.0,70.0,S,CALIFORNIA NORTH AREA,Y,N,149.9899902,1.0,1.0,WCMB,0.0,0.0,O,1.0,S,S,1.0,M,5.0,1.0,C,A,0.0,N,U,U,U,U,U,Y,323.0,1090019
35.2375,248.5,44.99,0.2475,0.0,0.0,0.0,0.0,0.0,-13.5,0.7425,0.0,0.0,2.0,0.0,6.666666667,0.0,40.66666667,0.0,9.666666667,0.0,32.0,0.0,0.333333333,0.666666667,0.393333333,5.0,0.0,242.5,0.0,25.71333333,2.0,1.766666667,0.0,0.0,18.66666667,0.0,81.8,0.0,23.0,0.0,186.4133333,0.0,2.0,40.66666667,32.0,0.0,0.0,9,1,1,U,AA,N,315,2221.0,356.87,286.26,2221.0,315,35.78,277.63,39.38,253,34,35,231.0,36.0,35.0,S,DALLAS AREA,N,N,129.9899902,1.0,1.0,WCMB,0.0,0.0,,,,U,2.0,M,,,C,,0.0,N,U,U,U,U,U,N,262.0,1090020
93.5625,914.25,69.99,2.7225,86.5,34.6,34.6,0.0,0.0,45.75,-2.7925,17.0,0.0,4.0,0.0,127.3333333,0.0,427.3333333,0.0,370.0,0.0,285.0,0.0,8.0,8.0,1.19,306.0,0.666666667,353.7066667,0.0,178.7766667,79.33333333,59.52666667,40.33333333,35.21,348.6666667,0.0,291.3233333,0.0,285.3333333,0.0,241.16,0.0,21.0,427.3333333,285.0,0.0,0.333333333,7,2,2,U,CA,N,3307,6518.0,773.33,657.34,5947.0,2993,109.56,991.17,498.83,899,438,94,991.0,499.0,110.0,U,GREAT LAKES AREA,Y,N,199.9899902,1.0,1.0,WCMB,1.0,0.0,O,7.0,M,M,3.0,M,1.0,1.0,C,B,0.0,Z,U,U,U,U,U,Y,216.0,1090021
38.99,0.5,44.99,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,1,1,U,AA,N,127,411.0,460.44,389.83,411.0,127,38.98,41.1,12.7,0,0,39,9.0,3.0,39.0,,DALLAS AREA,Y,N,149.9899902,1.0,1.0,WCMB,,,,,,,,,,,,,,,,,,,,,323.0,1090022
39.99,598.25,39.99,0.0,0.0,0.0,0.0,0.0,0.0,95.75,0.0,11.33333333,0.0,13.0,0.0,20.0,0.0,221.6666667,0.0,100.6666667,0.0,185.6666667,0.0,6.666666667,7.0,4.716666667,43.33333333,0.0,208.2533333,0.0,142.5633333,38.0,18.06,11.0,22.1,158.0,0.0,200.7,0.0,120.0,0.0,150.1166667,0.0,24.33333333,221.6666667,185.6666667,0.0,5.0,11,1,1,U,AA,N,2864,5696.0,502.57,431.96,5691.0,2862,43.2,569.1,286.2,566,275,40,602.0,291.0,41.0,S,DC/MARYLAND/VIRGINIA AREA,Y,N,129.9899902,4.0,2.0,WCMB,0.0,0.0,O,13.0,M,U,2.0,M,7.0,2.0,G,B,0.0,N,U,U,U,U,U,Y,81.0,1090023
49.81,454.0,56.12,0.0,9.25,3.69,3.3,0.39,0.0,31.0,-2.1,6.0,0.0,1.333333333,0.0,36.66666667,0.0,167.0,1.0,101.0,0.0,124.6666667,1.0,2.666666667,3.666666667,1.416666667,58.0,2.0,123.74,0.13,133.9733333,40.33333333,25.43666667,15.0,18.04666667,111.0,1.0,154.7633333,0.13,102.6666667,0.0,102.95,0.0,7.333333333,168.0,125.6666667,0.0,1.0,7,2,2,U,BA,N,1334,2417.0,394.38,308.5,2417.0,1334,51.42,402.83,222.33,444,236,50,403.0,222.0,51.0,U,CALIFORNIA NORTH AREA,N,N,129.9899902,1.0,1.0,WCMB,0.0,0.0,,,,U,,,,,,,0.0,H,U,U,U,U,U,N,216.0,1090024
36.955,1375.25,10.0,4.455,56.25,22.5,22.5,0.0,0.0,-272.25,-24.975,38.66666667,0.0,0.666666667,0.0,58.0,0.0,330.0,0.0,182.6666667,0.0,249.0,0.0,2.0,5.666666667,4.04,55.33333333,1.0,468.37,0.0,492.71,102.0,144.8066667,94.33333333,308.53,242.3333333,0.0,534.4466667,0.0,159.6666667,0.0,426.6266667,0.0,39.33333333,330.0,249.0,0.0,9.333333333,11,3,3,N,BA,N,3747,11421.0,656.06,605.81,11256.0,3690,60.58,1125.6,369.0,1466,448,45,1207.0,383.0,33.0,U,LOS ANGELES AREA,T,N,99.98999023,2.0,1.0,WCMB,0.0,0.0,O,6.0,S,U,2.0,M,1.0,1.0,G,A,0.0,N,U,U,U,U,U,Y,323.0,1090025
92.1875,524.25,69.99,0.0,80.5,32.1975,32.1,0.0975,0.0,-51.25,-31.8075,1.333333333,0.0,3.0,0.0,71.33333333,0.333333333,251.6666667,0.333333333,102.6666667,0.0,176.0,0.0,0.0,0.0,0.0,54.0,0.0,195.8833333,0.0,163.9033333,36.0,19.39333333,25.66666667,30.79666667,177.0,0.0,240.9066667,0.0,101.6666667,0.0,118.88,0.0,4.333333333,252.0,176.0,0.0,2.666666667,11,2,2,U,BA,N,2258,5223.0,958.7,923.35,5223.0,2258,92.34,522.3,225.8,541,273,103,423.0,214.0,85.0,T,NORTH FLORIDA AREA,Y,N,149.9899902,3.0,2.0,WCMB,0.0,0.0,,5.0,S,A,3.0,M,2.0,2.0,I,A,0.0,H,U,U,U,U,U,Y,179.0,1090026
90.725,703.5,59.99,6.435,85.75,34.3,34.3,0.0,0.0,-293.5,-39.745,30.0,0.0,2.666666667,0.0,119.3333333,0.0,352.3333333,0.0,114.6666667,0.0,212.0,0.0,0.666666667,0.666666667,0.086666667,67.66666667,2.333333333,432.1933333,0.0,122.4733333,31.0,23.8,7.0,6.086666667,216.0,0.0,363.0166667,0.0,81.33333333,0.0,191.6533333,0.0,32.66666667,352.3333333,212.0,0.0,5.666666667,11,2,1,U,BA,N,2140,5825.0,902.55,666.43,4966.0,1917,74.05,551.78,213.0,801,306,104,576.0,225.0,78.0,U,CALIFORNIA NORTH AREA,N,N,79.98999023,1.0,1.0,WC,0.0,0.0,,,,U,,,,,,,0.0,N,U,U,U,U,U,N,323.0,1090027
63.19,576.0,69.99,0.0,8.0,3.2,3.2,0.0,0.0,-234.0,-3.2,24.33333333,0.0,4.0,0.0,32.33333333,0.0,177.6666667,0.0,115.3333333,0.0,131.6666667,0.0,0.0,0.0,0.0,58.0,0.0,132.5033333,0.0,164.5166667,67.33333333,57.33,19.66666667,72.50666667,94.0,0.0,84.31666667,0.0,138.3333333,0.0,212.7033333,0.0,28.33333333,177.6666667,131.6666667,0.0,3.666666667,11,2,2,U,AA,N,2899,5446.0,723.5,637.62,5438.0,2897,63.76,543.8,289.7,654,280,64,634.0,322.0,66.0,T,NORTH FLORIDA AREA,N,N,29.98999023,2.0,2.0,WC,0.0,0.0,,,,U,2.0,M,,,G,,0.0,N,U,U,U,U,U,N,263.0,1090028
53.375,394.25,69.4075,0.0,0.0,0.0,0.0,0.0,0.0,204.75,0.615,1.0,0.0,1.666666667,0.0,20.66666667,0.333333333,93.0,0.333333333,41.66666667,0.0,69.66666667,0.0,0.666666667,0.666666667,0.056666667,13.33333333,0.0,137.0266667,0.0,160.1366667,8.0,6.99,2.333333333,4.54,49.0,0.0,108.23,0.0,62.33333333,0.0,188.9333333,0.0,2.666666667,93.33333333,69.66666667,0.0,0.333333333,9,1,1,U,EA,Y,793,2011.0,517.13,431.25,2008.0,792,53.91,251.0,99.0,326,106,53,247.0,89.0,54.0,T,DALLAS AREA,N,N,129.9899902,2.0,2.0,WCMB,1.0,1.0,O,15.0,S,M,6.0,M,5.0,3.0,C,A,0.0,H,U,U,U,U,Y,Y,118.0,1090029
50.7275,349.75,29.99,0.7425,50.0,19.995,19.8,0.195,0.0,213.25,60.4425,4.0,0.0,0.0,0.0,36.66666667,0.0,185.3333333,0.666666667,91.0,0.0,145.6666667,0.666666667,0.0,0.0,0.0,71.33333333,0.666666667,126.4966667,0.413333333,63.53333333,82.0,65.61666667,27.66666667,27.04,56.66666667,0.0,60.23666667,0.0,137.3333333,0.666666667,129.7933333,0.413333333,4.0,186.0,146.3333333,0.0,0.0,11,4,3,U,B,N,1435,2860.0,374.13,289.67,2675.0,1373,32.19,297.22,152.56,279,162,30,277.0,147.0,32.0,U,NEW YORK CITY AREA,N,N,129.9899902,2.0,2.0,WCMB,0.0,0.0,O,1.0,M,M,3.0,M,4.0,3.0,C,F,0.0,D,U,U,U,U,U,Y,102.0,1090030
30.9275,143.75,39.99,0.7425,0.0,0.0,0.0,0.0,0.195,20.25,-0.9375,2.0,0.0,0.0,0.0,5.333333333,0.0,40.66666667,0.0,14.0,0.0,34.33333333,0.0,0.0,0.0,0.0,8.666666667,0.333333333,50.07,0.0,18.30333333,9.666666667,8.05,1.0,6.526666667,23.66666667,0.0,39.17666667,0.0,22.0,0.0,29.19666667,0.0,2.0,40.66666667,34.33333333,0.0,0.333333333,11,1,1,U,BA,N,696,1554.0,392.26,326.74,1554.0,696,32.67,155.4,69.6,137,55,31,136.0,58.0,32.0,S,NEW ENGLAND AREA,Y,R,29.98999023,1.0,1.0,WCMB,0.0,0.0,O,8.0,S,S,3.0,M,7.0,2.0,,A,0.0,S,U,U,U,U,U,Y,323.0,1090031
36.75,102.25,39.99,1.98,1.75,0.6825,0.0,0.6825,0.0975,1.75,1.17,1.333333333,0.0,0.333333333,0.0,5.666666667,0.0,35.0,1.0,7.0,0.0,27.66666667,1.0,0.0,0.0,0.0,2.333333333,0.0,48.76666667,1.82,13.77666667,4.666666667,2.96,0.0,0.0,27.0,0.666666667,49.62666667,0.46,7.0,0.333333333,12.91666667,1.36,1.666666667,36.0,28.66666667,0.0,0.0,9,1,1,U,AA,N,439,1232.0,433.88,363.96,1225.0,435,45.5,153.13,54.38,102,40,36,160.0,55.0,48.0,S,CHICAGO AREA,Y,N,149.9899902,1.0,1.0,WCMB,1.0,1.0,O,5.0,S,S,3.0,M,9.0,2.0,I,A,0.0,U,U,U,U,U,U,Y,262.0,1090032
129.1475,1539.0,100.1025,0.0,103.75,41.5,41.5,0.0,3.7375,-1073.0,-61.2575,21.66666667,0.0,71.66666667,0.0,22.66666667,0.0,451.6666667,0.0,200.0,0.0,345.6666667,0.0,29.66666667,52.33333333,33.87333333,70.0,2.0,500.24,0.0,558.47,91.0,50.37,68.33333333,175.2933333,281.0,0.0,555.0566667,0.0,254.3333333,0.0,503.6533333,0.0,93.33333333,451.6666667,345.6666667,0.0,12.0,7,1,1,U,DA,Y,3400,10545.0,912.66,826.78,10536.0,3396,137.8,1756.0,566.0,1897,677,150,1756.0,566.0,138.0,S,OHIO AREA,Y,N,149.9899902,1.0,1.0,WCMB,0.0,0.0,,,,U,,,,,,,0.0,N,U,U,U,U,U,N,216.0,1090033
